Rk,Player,Tm,Pos,Shift,GP,TOI,CF% Rel,GF/60,GA/60,TOI,CF% Rel,GF/60,GA/60,TOI,CF% Rel,GF/60,GA/60,-9999
163,Chris Kreider,ANA,LW,0:45,75,13:14,4.8,3.8,3.9,3:15,3.9,8.1,0.7,0:33,2.3,0.0,7.2,kreidch01
164,Chris Tanev,TOR,D,0:34,11,15:47,-2.4,4.5,1.7,0:02,11.0,0.0,0.0,2:08,-5.6,0.0,5.1,tanevch01
165,Christian Dvorak,PHI,C,0:30,80,14:48,-1.9,3.6,2.9,1:40,-1.3,4.9,2.2,1:58,0.3,0.4,10.3,dvorach01
166,Claude Giroux,OTT,C/LW,0:47,82,12:43,2.4,3.7,2.4,2:10,-0.6,7.7,1.0,1:23,-3.6,0.5,8.9,giroucl01
167,Clayton Keller,UTA,C,0:46,82,15:47,6.2,3.9,2.9,3:17,0.0,8.7,0.7,0:00,-11.0,0.0,0.0,kellecl01
168,Cody Ceci,LAK,D,0:48,82,15:34,-2.1,1.8,2.5,0:00,-26.7,0.0,0.0,1:58,-3.3,1.9,8.2,cecico01
169,Cody Glass,NJD,C,0:37,70,12:31,-0.7,2.7,2.5,0:22,-3.6,6.7,2.2,0:42,1.1,0.0,7.2,glassco01
170,Cole Caufield,MTL,RW,0:56,81,14:48,8.6,4.1,2.6,3:22,4.8,10.1,0.2,0:00,,0.0,0.0,caufico01
171,Cole Hutson,WSH,D,0:37,14,15:13,4.8,2.3,2.8,2:11,-0.8,11.7,1.9,0:02,-9.2,0.0,0.0,hutsoco01
172,Cole Koepke,WPG,LW,0:30,66,8:39,-2.8,2.0,2.0,0:00,,0.0,0.0,1:47,0.2,0.5,7.1,koepkco01
173,Cole McWard,NYI,D,0:58,3,13:44,-14.5,4.4,2.9,0:00,,,,0:00,,,,mcwarco01
174,Cole O'Hara,NSH,RW,0:39,1,11:01,-12.0,5.4,0.0,0:22,,0.0,0.0,0:00,,,,oharaco01
175,Cole Perfetti,WPG,C,0:49,68,13:21,3.7,2.3,2.7,2:15,-4.7,6.2,1.2,0:00,-11.3,0.0,0.0,perfeco01
176,Cole Reinhardt,TOT,LW,0:49,59,10:29,-14.5,3.7,2.5,0:03,,,,0:05,-14.6,0.0,0.0,reinhco01
177,Cole Schwindt,FLA,RW,0:35,29,9:01,-3.6,3.0,2.5,0:13,-25.5,9.1,0.0,0:47,-2.0,0.0,10.4,schwico01
