Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
198,Florida Panthers,Stepan Zvyagin,RU,LW,19,,Dinamo-Shinnik Jr. (Russia-Jr.),,,,,,,,,,,,,,zvyagst01
199,Philadelphia Flyers,Matteo Mann,CA,D,18,,Chicoutimi Sagueneens (QMJHL),,,,,,,,,,,,,,mannma01
200,Washington Capitals,Brett Hyland,CA,C,20,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,hylanbr01
201,Detroit Red Wings,Emmitt Finnie,CA,C,18,2026,Kamloops Blazers (WHL),82,13,17,30,-10,6,,,,,,,2.1,finniem01
202,St. Louis Blues,Nikita Susuyev,RU,RW,18,,Spartak Jr. (Russia-Jr.),,,,,,,,,,,,,,susuyni01
203,San Jose Sharks,Yegor Rimashevskiy,BY,RW,18,,Dynamo Moscow Jr. (Russia-Jr.),,,,,,,,,,,,,,rimasye01
204,Ottawa Senators,Owen Beckner,CA,C,18,,Salmon Arm (BCHL),,,,,,,,,,,,,,becknow01
205,Buffalo Sabres,Norwin Panocha,DE,D,18,,Eisbaren Berlin Jr. (Germany-Jr.),,,,,,,,,,,,,,panocno01
206,Washington Capitals,Antoine Keller,FR,G,18,,Geneve Jr. (SWISS-JR.),,,,,,,,,,,,,,kellean01
207,Ottawa Senators,Vladimir Nikitin,KZ,G,18,,Barys Nur-Sultan U20 (Kazak-Jr.U20),,,,,,,,,,,,,,nikitvl01
208,Calgary Flames,Axel Hurtig,SE,D,18,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,,,hurtiax01
209,New York Islanders,Dennis Good Bogg,SE,D,19,,Aik Jr. (Sweden-Jr.),,,,,,,,,,,,,,goodbde01
210,Winnipeg Jets,Connor Levis,CA,RW,18,,Kamloops Blazers (WHL),,,,,,,,,,,,,,levisco01
211,Tampa Bay Lightning,Ethan Hay,CA,C,18,,Flint Firebirds (OHL),,,,,,,,,,,,,,hayet01
212,Seattle Kraken,Zaccharya Wisdom,CA,RW,19,,Cedar Rapids (USHL),,,,,,,,,,,,,,wisdoza02
213,Minnesota Wild,James Clark,US,LW,18,,Green Bay (USHL),,,,,,,,,,,,,,clarkja02
214,Boston Bruins,Casper Nassen,SE,RW,19,,Vasteras Jr. (Sweden-Jr.),,,,,,,,,,,,,,nasseca01
215,Ottawa Senators,Nicholas Vantassell,US,RW,19,,Green Bay (USHL),,,,,,,,,,,,,,vantani01
216,Edmonton Oilers,Matt Copponi,US,C,20,,Merrimack (H-East),,,,,,,,,,,,,,coppoma01
217,Pittsburgh Penguins,Emil Jarventie,FI,LW,18,,Ilves Jr. (Finland-Jr.),,,,,,,,,,,,,,jarveem01
218,Nashville Predators,Aiden Fink,CA,RW,18,,Brooks (AJHL),,,,,,,,,,,,,,finkai01
219,Colorado Avalanche,Maros Jedlicka,SK,C,20,,Zvolen (Slovakia),,,,,,,,,,,,,,jedlima01
220,Boston Bruins,Kristian Kostadinski,SE,D,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,kostakr01
221,Dallas Stars,Sebastian Bradshaw,CA,LW,18,,Elite Hockey Academy 18u (USMAAA),,,,,,,,,,,,,,bradsse01
222,Carolina Hurricanes,Yegor Velmakin,RU,G,20,,Voronezh (RUSSIA-2),,,,,,,,,,,,,,velmaye01
223,Pittsburgh Penguins,Kalle Kangas,FI,D,18,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,,,kangaka01
224,Columbus Blue Jackets,Tyler Peddle,CA,LW,18,,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,,,,peddlty01
