Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
177,Edmonton Oilers,Skyler Brind'Amour,US,C,18,2026,Selects Academy (USMAAA),6,1,0,1,-5,4,,,,,,,-0.1,brindsk01
178,Minnesota Wild,Andrei Svetlakov,RU,C,21,,CSKA Moskva (Russia),,,,,,,,,,,,,,svetlan01
179,Columbus Blue Jackets,Carson Meyer,US,RW,20,2024,Miami (Ohio) (NCHC),41,2,4,6,-4,14,,,,,,,0.0,meyerca01
180,Tampa Bay Lightning,Cole Guttman,US,C,18,2024,Dubuque Fighting Saints (USHL),41,8,6,14,-16,9,,,,,,,0.9,guttmco01
181,Vancouver Canucks,Petrus Palmu,FI,RW,20,,Owen Sound Attack (OHL),,,,,,,,,,,,,,palmupe01
182,Washington Capitals,Benton Maass,US,D,18,,Elk River HS (High-MN),,,,,,,,,,,,,,maassbe01
183,Ottawa Senators,Jordan Hollett,CA,G,18,,Regina Pats (WHL),,,,,,,,,,,,,,hollejo01
184,Florida Panthers,Sebastian Repo,FI,RW,21,,Tappara (Finland),,,,,,,,,,,,,,repose02
185,San Jose Sharks,Alexander Chmelevski,US,C,18,2022,Ottawa 67's (OHL),24,0,10,10,0,6,,,,,,,0.6,chmelal01
186,Pittsburgh Penguins,Antti Palojarvi,FI,D,18,,Lukko Jr. (Finland Jr.),,,,,,,,,,,,,,palojan01
187,Colorado Avalanche,Nick Leivermann,US,D,19,,Eden Priarie HS (High-MN),,,,,,,,,,,,,,leiveni01
188,Vancouver Canucks,Matt Brassard,CA,D,19,,Oshawa Generals (OHL),,,,,,,,,,,,,,brassma01
189,Vegas Golden Knights,Ben Jones,CA,C,18,2026,Niagara IceDogs (OHL),56,1,2,3,-13,12,,,,,,,-0.8,jonesbe01
190,Arizona Coyotes,Erik Walli Walterholm,SE,RW,18,,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,,,,wallier01
191,New Jersey Devils,Jocktan Chainey,CA,D,18,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,,,chainjo01
192,Buffalo Sabres,Linus Weissbach,SE,LW,19,,Tri-City Storm (USHL),,,,,,,,,,,,,,weissli01
193,Detroit Red Wings,Brady Gilmour,CA,C,18,,Saginaw Spirit (OHL),,,,,,,,,,,,,,gilmobr01
194,Dallas Stars,Dylan Ferguson,CA,G,18,2023,Kamloops Blazers (WHL),3,0,0,0,0,0,3,1,1,0,.929,2.81,0.7,fergudy01
195,Boston Bruins,Victor Berglund,SE,D,18,,MODO Hockey Jr. (Sweden Jr.),,,,,,,,,,,,,,berglvi01
