Player,Career Earnings (millions),Contract Type,Salary Cap Hit (millions),Signing GM
Jake McCabe,35.24,STD,4.513,Brad Treliving
Nick Foligno,67.26,STD,4.500,Kyle Davidson
Mikael Backlund,58.06,STD,4.500,Craig Conroy
Matt Duchene,107.64,STD,4.500,Jim Nill
Ryan O'Reilly,91.12,STD,4.500,Barry Trotz
Chris Tanev,58.02,STD,4.500,Brad Treliving
Josh Manson,37.88,STD,4.500,Chris MacFarland
Cody Ceci,35.81,STD,4.500,Ken Holland
Ryan Graves,28.46,STD,4.500,Kyle Dubas
Artturi Lehkonen,28.01,STD,4.500,Chris MacFarland
Michael Bunting,19.07,STD,4.500,Don Waddell
Mason Marchment,19.29,STD,4.500,Jim Nill
Ryan Lindgren,20.73,STD,4.500,Jason Botterill
Filip Chytil,21.13,STD,4.438,Chris Drury
Connor Murphy,43.27,STD,4.400,Stan Bowman
John Marino,23.77,STD,4.400,Jim Rutherford
John Tavares,118.17,STD,4.389,Brad Treliving
Morgan Frost,10.99,STD,4.375,Craig Conroy
Jacob Middleton,13.95,STD,4.350,Bill Guerin
Lawson Crouse,24.92,STD,4.300,Bill Armstrong
Andrei Kuzmenko,16.23,STD,4.300,Ken Holland
Mattias Samuelsson,14.38,STD,4.286,Kevyn Adams
Fabian Zetterlund,7.57,STD,4.275,Steve Staios
Jack McBain,8.99,STD,4.250,Bill Armstrong
Jason Dickinson,22.99,STD,4.250,Kyle Davidson
Trevor Moore,20.93,STD,4.200,Rob Blake
Dmitri Voronkov,5.76,STD,4.175,Don Waddell
Pius Suter,14.85,STD,4.125,Doug Armstrong
Michael Anderson,14.83,STD,4.125,Rob Blake
Mats Zuccarello,63.38,STD,4.125,Bill Guerin
Dante Fabbro,16.80,STD,4.125,Don Waddell
Brandon Carlo,29.35,STD,4.100,Don Sweeney
William Borgen,12.84,STD,4.100,Chris Drury
Alex Laferriere,5.23,STD,4.100,Ken Holland
Nick Jensen,25.46,STD,4.050,Brian MacLellan
David Perron,63.15,STD,4.000,Steve Staios
Nick Leddy,62.58,STD,4.000,Doug Armstrong
Brian Dumoulin,38.97,STD,4.000,Ken Holland
